I want to kill him,anger
My neighbors upstairs always make a lot of noise,anger
My little sister won’t let me study,anger
He keeps spamming me,anger
I blocked him,anger
My friend broke my new laptop,anger
My computer won’t work,anger
I keep accidentally making the same mistake,anger
Someone hit my car and drove away,anger
He cut me off,anger
The train made me late,anger
The bus was very delayed,anger
This guy was driving so slow today,anger
Why the hell did they put that there,anger
She won’t stop talking nonsense,anger
My mom said that I have to babysit my annoying little sister,anger
My cat keeps knocking off things from my table,anger
She won’t listen to me,anger
I know he did it but I can’t prove it,anger
Everytime I try I fail,anger
He ripped me off,anger
I keep calling but he won’t answer,anger
I told her many times not to bother me,anger
How the heck am I supposed to deal with this,anger
He tried to flirt with my girlfriend,anger
These roads are poorly made,anger
I am fed up with this,anger
What a disaster,anger
I punched him,anger
He hit me,anger
She spit on me,anger
That guy cursed at me,anger
How dare he insult me,anger
There is horrible customer service here,anger
What kind of business is he running,anger
I wish they would shut up,anger
They are starting to infuriate me,anger
I have never been so angry in my life,anger
I need a vacation,anger
He will pay,anger
I want to break the wall down,anger
He stole my girlfriend,anger
She stole my boyfriend,anger
I got cheated on,anger
I was tricked,anger
I was fooled,anger
I’m so angry right now,anger
I’m furious,anger
I need anger management,anger
I found out today that my daughter was lying to me,anger
My coworker spilled his coffee on me today,anger
I feel hostile,anger
I am hostile towards anyone,anger
I do not want anyone to bother me,anger
I want to be alone,anger
I hate everyone,anger
I hate people,anger
I have anger issues,anger
I don't like it when people look at me,anger
I really hate everyone,anger
I feel like I am going to blow up,anger
I want to destroy everything,anger
I just punched someone,anger
I just punched the wall,anger
I wish people were smarter,anger
I wish my wife didn't make me so angry,anger
I wish my husband did not make me so angry,anger
I wish my girlfriend did not make so angry,anger
I wish my boyfriend did not make me so angry,anger
I wish my mom did not make me so angry,anger
I wish my father did not make me so angry,anger
I wish my parents did not make me so angry,anger
I want freedom,anger
I want to run away from these stupid people,anger
I hate it when people get it in my way,anger
I hope I never see her again,anger
I hope I never him again,anger
I hope I never see them again,anger
If I ever see that person again I will kill them,anger
I want to kill her,anger
I want to kill everyone,anger
Life is not fair,anger
I'm so pissed that nothing ever plays out the way I want it to play out,anger
I have a very bad temper,anger
I was told today that I am violent,anger
I wish they would stop antagonizing me,anger
I wish she would stop antagonizing me,anger
I wish he would stop antagonizing me,anger
I am so mad,anger
I am very mad,anger
Why does everything infuriate me,anger
Why does everyone infuriate me,anger
Why does everything make me so mad,anger
Why does everyone make me so mad,anger
Im so annoyed,anger
I am very annoyed,anger
I am extremely annoyed,anger
Life is so annoying,anger
Life just pisses me off,anger
Life is way too annoying,anger
Everything vexes me,anger
Everyone vexes me,anger
I am so vexed,anger
I am outraged,anger
I need to confront him,anger
I am really frustrated,anger
I am very frustrated,anger
I am frustrated,anger
I am extremely frustrated,anger
Why is life so frustrating,anger
Why can’t I ever get what I want,anger
Why do my parents always get in my way,anger
I do not want to be told what to do,anger
Life is frustrating,anger
My neighbors are frustrating,anger
He just frustrates me,anger
She really frustrates me,anger
I want to punch myself,anger
I have a hatred towards other people,anger
I’m having a tantrum,anger
My son better stop having a tantrum,anger
My daughter better stop having a tantrum,anger
I have no patience,anger
I have no patience for this,anger
This is really trying my patience,anger
He is really trying my patience,anger
They are all trying my patience,anger
Life is trying my patience,anger
I hate this question,anger
Stop asking me questions,anger
You are a stupid machine,anger
You are a stupid robot,anger
Stop asking me these questions,anger
I hate answering questions,anger
I want to break this thing,anger
I envy him so much,anger
I envy her so much,anger
I envy them so much,anger
I envy my friends so much,anger
Why is everyone better than me,anger
I want to hurt everyone who is better than me,anger
I am very aggravated,anger
I am extremely aggravated,anger
I never have been so aggravated,anger
Life is so aggravating,anger
She aggravates me,anger
He aggravates me,anger
My friends really aggravate me,anger
My mom really aggravates me,anger
My dad really aggravates me,anger
My parents really aggravates me,anger
I wish the people I hate disappeared,anger
I wish that I could murder everyone,anger
I wish that I could kill everyone,anger
I wish that I could assassinate everyone,anger
I feel really hot headed,anger
I feel very belligerent,anger
I feel very vegenenful,anger
I won't rest until I get my revenge,anger
Revenge is a goal of mine,anger
I hold a grudge against him,anger
I hold a grudge against her,anger
I hold a grudge against them,anger
I hold a grudge against my wife,anger
I hold a grudge against my girlfriend,anger
I hold a grudge against my husband,anger
I hold a grudge against my boyfriend,anger
I hold a grudge against anyone who wrongs me,anger
I am full of fury,anger
I want them to feel my wrath,anger
They will feel my wrath,anger
I am a very angry person,anger
They told me that I have to do community service,anger
I don’t like humans,anger
I can’t believe he called the police on me,anger
I can’t believe she called the police on me,anger
Why are the police always targeting me,anger
The racism in this country is making me angry,anger
I hate taking the bus,anger
I hate taking the subway,anger
I hate taking the metro,anger
People are beyond stupid,anger
People are beyond annoying,anger
I hate being in jail,anger
I will not listen to him,anger
I will not listen to her,anger
I am very bitter,anger
I am way too irritated,anger
I am extremely irritated,anger
I am very irritated,anger
I am irritated because my brother pissed me off today.,anger 
"I am so sick of my boss!
",anger 
My pet ruined my furniture and now my whole room looks like a mess.,anger 
I am so mad my sister forgot my birthday.,anger 
My friend spilled her drink on my brand new laptop.,anger 
My favorite item broke.,anger 
Somebody hit my car while it was parked and drove away.,anger 
Why the hell did he do that?,anger 
"This idiot just cut me off!
",anger 
I'm furious.,anger 
He ripped me off!,anger 
I am getting married next month,anticipation 
I can’t wait to visit my family because I have not seen them in so long,anticipation 
I am starting my new job in a few weeks,anticipation 
The guy I like asked me on a date and we are going out to dinner tomorrow night,anticipation 
My birthday is next week,anticipation 
I can’t wait to get my new car,anticipation 
Today I found out that I am getting a promotion soon,anticipation 
I am going on a cruise in three weeks,anticipation 
I am so excited for the upcoming holiday season,anticipation 
I received an email that my package is going to be delivered today at any time,anticipation 
My professor told the class we are going to get back our test results during the next class,anticipation 
I keep checking my email to see if the manager of the company i interviewed for has contacted me,anticipation 
I applied for a job and am waiting to get a response,anticipation 
